damage_count,affected_kk,total_population,disaster_type,severity_level,emergency_duration_days,vulnerability_index,qty_beras_kg,qty_minyak_liter,qty_gula_kg,qty_indomie_pcs,qty_biskuit_pack,qty_sarden_pcs,qty_kornet_pcs,qty_susu_cair_pcs,qty_susu_bubuk_box,qty_matras_pcs,qty_kasur_lipat_pcs,qty_karpet_pcs,qty_kompor_set,qty_kipas_pcs
103,115,4807,Angin Kencang,1,7,0.79,409.0,83.8,82.1,415,306,87,84,82,78,97,97,97,77,48
436,438,14058,Angin Kencang,2,10,0.75,2121.8,441.8,459.1,2222,1747,439,448,455,444,403,403,403,322,201
349,375,1764,Tanah Longsor,5,5,0.21,881.0,188.5,183.6,921,801,194,186,183,197,435,435,435,348,87
271,303,13669,Banjir,1,10,0.93,1439.5,310.8,302.8,1548,1258,307,318,313,288,255,255,255,204,127
107,110,12343,Angin Kencang,1,3,0.71,158.5,32.7,31.6,165,132,35,29,31,32,92,92,92,74,46
72,74,1909,Tsunami,5,3,0.38,108.6,20.5,23.2,105,89,23,24,22,21,86,86,86,69,17
189,211,6066,Banjir,4,5,0.62,535.8,99.1,104.9,487,412,100,103,111,102,228,228,228,182,114
21,25,8177,Banjir,2,7,0.2,89.8,18.4,18.2,90,71,18,18,18,17,23,23,23,18,12
103,124,9908,Banjir,5,14,0.74,819.3,174.0,182.3,814,745,150,177,169,176,144,144,144,115,72
122,139,9614,Tsunami,3,3,0.88,208.0,39.4,43.2,228,163,42,42,40,43,139,139,139,111,28
467,522,14712,Banjir,2,5,0.36,1359.2,273.0,255.4,1309,948,266,267,270,264,480,480,480,384,240
215,236,14743,Gempa Bumi,1,5,0.43,597.0,118.9,121.5,580,475,124,129,117,116,198,198,198,159,40
331,347,3852,Angin Kencang,1,3,0.78,492.2,91.3,107.9,533,422,92,118,109,107,291,291,291,233,146
459,476,2170,Banjir,4,5,0.95,1187.8,247.5,232.3,1273,979,260,227,232,226,514,514,514,411,257
88,105,10313,Banjir,1,5,0.29,244.9,48.9,54.9,270,213,51,53,52,52,88,88,88,71,44
373,416,10304,Banjir,4,10,0.77,2076.6,454.6,419.9,2031,1537,412,405,423,398,449,449,449,359,225
100,120,2762,Angin Kencang,1,5,0.8,326.3,54.2,62.7,330,243,55,62,61,62,101,101,101,81,50
360,423,8700,Banjir,3,7,0.44,1520.9,293.4,292.5,1530,1276,292,292,310,283,423,423,423,338,212
152,159,4817,Gempa Bumi,1,10,0.94,785.7,150.0,157.0,812,662,161,156,161,157,134,134,134,107,27
131,148,4831,Tanah Longsor,5,3,0.2,228.1,42.5,45.3,217,177,45,43,46,48,172,172,172,137,34
150,167,1047,Tsunami,2,3,0.93,214.4,47.1,48.6,245,192,47,51,48,51,154,154,154,123,31
309,342,9755,Banjir,1,3,0.88,522.5,111.1,103.7,483,438,106,92,104,105,287,287,287,230,144
258,293,10428,Banjir,1,7,0.98,932.3,201.7,209.9,1004,796,207,213,213,189,246,246,246,197,123
344,428,2525,Tanah Longsor,5,3,0.65,659.6,123.0,126.7,666,526,121,122,129,139,496,496,496,397,99
492,592,3076,Angin Kencang,5,5,0.59,1461.5,279.3,291.1,1313,1221,319,319,299,295,687,687,687,549,343
414,508,2727,Tanah Longsor,1,3,0.92,762.2,168.1,148.7,766,576,141,143,157,147,427,427,427,341,85
294,296,9637,Gempa Bumi,2,7,0.37,1012.9,197.9,206.1,1016,735,218,215,223,219,272,272,272,218,54
386,400,2058,Banjir,4,5,0.34,976.0,204.5,194.2,869,800,190,197,209,196,432,432,432,346,216
192,196,13771,Gempa Bumi,3,7,0.35,726.1,142.9,139.2,683,576,132,139,145,135,196,196,196,157,39
444,473,5498,Banjir,5,3,0.78,669.2,144.0,145.7,761,578,150,140,149,144,549,549,549,439,274
277,308,9931,Gempa Bumi,2,10,0.89,1674.2,307.5,307.5,1511,1262,322,333,311,293,283,283,283,227,57
161,187,1034,Banjir,4,3,0.88,296.7,55.9,56.6,268,226,57,62,59,57,202,202,202,162,101
460,518,5350,Banjir,2,10,0.37,2585.4,526.1,528.1,2578,2207,506,551,484,511,477,477,477,381,238
314,385,5760,Gempa Bumi,5,10,0.42,2061.3,417.7,376.5,1939,1521,398,382,389,364,447,447,447,357,89
22,27,4496,Gempa Bumi,5,7,0.81,94.8,19.3,19.0,103,70,18,20,18,18,31,31,31,25,6
253,263,2277,Gempa Bumi,5,3,0.41,409.1,76.0,77.0,419,342,82,73,80,79,305,305,305,244,61
236,286,9660,Banjir,2,3,0.74,494.9,80.1,83.0,404,342,82,92,88,86,263,263,263,210,132
345,387,13348,Banjir,5,10,0.65,1918.7,404.8,376.9,2009,1650,389,362,358,389,449,449,449,359,224
49,55,13501,Banjir,5,3,0.62,81.4,16.3,15.8,87,63,17,17,16,18,64,64,64,51,32
475,568,3744,Banjir,3,3,0.86,823.1,177.8,176.1,899,671,178,170,166,173,568,568,568,454,284
59,60,6843,Banjir,5,1,0.4,30.3,6.1,5.9,32,24,5,6,6,6,70,70,70,56,35
170,208,3438,Banjir,2,3,0.86,312.2,68.0,60.9,321,239,69,61,67,59,191,191,191,153,96
476,556,4906,Banjir,5,1,0.29,298.0,53.7,53.6,288,221,57,54,58,56,645,645,645,516,322
188,229,12512,Banjir,5,14,0.32,1569.4,310.2,338.2,1430,1239,313,307,324,307,266,266,266,213,133
464,579,3520,Banjir,4,7,0.21,1887.8,418.8,423.7,1927,1579,415,403,414,402,625,625,625,500,313
271,306,12033,Banjir,3,7,0.28,1152.9,214.3,206.9,992,848,217,220,222,208,306,306,306,245,153
190,194,11692,Gempa Bumi,4,5,0.23,464.2,102.6,92.7,493,447,96,104,94,100,210,210,210,168,42
446,465,2223,Tsunami,2,5,0.3,1179.2,228.3,225.3,1171,939,237,213,233,242,428,428,428,342,86
175,189,10834,Banjir,4,3,0.53,268.5,54.6,57.8,282,221,56,57,58,54,204,204,204,163,102
446,458,12961,Tanah Longsor,1,1,0.44,224.6,47.4,45.5,234,189,43,47,43,43,385,385,385,308,77
51,61,2865,Banjir,2,5,0.5,148.4,29.0,29.9,156,124,29,30,31,31,56,56,56,45,28
364,391,2549,Tanah Longsor,2,1,0.37,202.5,37.9,41.2,194,158,43,41,39,39,360,360,360,288,72
55,68,13344,Gempa Bumi,2,7,0.71,239.4,44.4,51.4,237,188,51,44,50,50,63,63,63,50,13
244,287,3036,Gempa Bumi,1,14,0.5,1952.7,401.3,422.8,1780,1636,418,414,410,404,241,241,241,193,48
320,334,1771,Angin Kencang,1,1,0.22,170.0,32.3,33.5,174,138,37,33,34,33,281,281,281,224,140
131,147,740,Tanah Longsor,5,5,0.29,339.3,71.2,74.1,355,300,78,75,69,72,171,171,171,136,34
